Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-100000,2016-05-26,2016-05-31,Standard Class,CG-1000,Customer 1000,Consumer,United States,Chicago,Washington,10769,Central,TE-69735,Technology,Copiers,Copiers Model 591,2177.33,7,0.15,488.2
2,CA-2017-100001,2017-01-26,2017-02-01,Standard Class,CG-1001,Customer 1001,Corporate,United States,Chicago,New York,94478,East,TE-28431,Technology,Copiers,Copiers Model 575,780.87,5,0.2,229.43
3,CA-2017-100002,2017-03-23,2017-03-27,Second Class,CG-1002,Customer 1002,Home Office,United States,Los Angeles,Florida,18792,South,OF-83969,Office Supplies,Labels,Labels Model 876,65.98,1,0.15,9.87
4,CA-2016-100003,2016-12-12,2016-12-14,First Class,CG-1003,Customer 1003,Consumer,United States,Houston,Texas,79479,East,TE-99475,Technology,Copiers,Copiers Model 101,3281.11,7,0.15,1135.89
5,CA-2015-100004,2015-02-12,2015-02-16,Second Class,CG-1004,Customer 1004,Corporate,United States,Houston,California,99789,East,TE-65591,Technology,Copiers,Copiers Model 824,887.95,2,0.4,192.15
6,CA-2014-100005,2014-10-13,2014-10-14,Same Day,CG-1005,Customer 1005,Consumer,United States,New York,California,72592,South,TE-77563,Technology,Phones,Phones Model 747,945.69,5,0.5,31.05
7,CA-2016-100006,2016-03-01,2016-03-02,Same Day,CG-1006,Customer 1006,Home Office,United States,Seattle,New York,94651,South,FU-73335,Furniture,Chairs,Chairs Model 825,1665.17,5,0.1,70.57
8,CA-2014-100007,2014-03-05,2014-03-08,First Class,CG-1007,Customer 1007,Home Office,United States,Chicago,California,10206,Central,OF-97054,Office Supplies,Art,Art Model 957,223.09,7,0.5,0.33
9,CA-2017-100008,2017-01-04,2017-01-07,First Class,CG-1008,Customer 1008,Consumer,United States,Seattle,New York,32299,East,TE-53585,Technology,Copiers,Copiers Model 781,1645.03,5,0.5,285.78
10,CA-2017-100009,2017-12-12,2017-12-14,Same Day,CG-1009,Customer 1009,Corporate,United States,Los Angeles,Florida,31976,West,OF-54262,Office Supplies,Envelopes,Envelopes Model 289,278.06,6,0.4,36.94
11,CA-2014-100010,2014-04-09,2014-04-14,Standard Class,CG-1010,Customer 1010,Consumer,United States,Chicago,Texas,76199,West,TE-44766,Technology,Accessories,Accessories Model 926,2154.05,7,0.4,212.75
12,CA-2017-100011,2017-10-12,2017-10-18,Standard Class,CG-1011,Customer 1011,Consumer,United States,Seattle,California,36736,East,OF-10854,Office Supplies,Envelopes,Envelopes Model 835,414.23,7,0.1,86.45
